time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-09-04T16:56:00.000Z,62.8563,-149.3481,5.1,2.7,ml,,,,0.64,ak,ak11691955,2015-09-04T17:18:54.862Z,"62km SSW of Cantwell, Alaska",earthquake
2015-09-04T16:52:12.030Z,51.4965,-174.8959,37.83,4.7,mb,,151,0.938,1.11,us,us20003gav,2015-09-04T17:13:20.965Z,"91km SSW of Atka, Alaska",earthquake
2015-09-04T16:21:39.000Z,58.7347,-153.1555,135.8,3.1,ml,,,,0.46,ak,ak11691945,2015-09-04T17:05:39.435Z,"112km NNW of Kodiak Station, Alaska",earthquake
2015-09-04T13:35:37.850Z,51.3603,-175.0536,46.35,4.5,mb,,184,0.965,1.38,us,us20003g9m,2015-09-04T14:23:30.218Z,"110km SSW of Atka, Alaska",earthquake
2015-09-04T12:48:55.030Z,51.2874,-174.8893,36.3,4.8,mb,,143,1.011,1.34,us,us20003g9g,2015-09-04T13:23:04.042Z,"111km SSW of Atka, Alaska",earthquake
2015-09-04T12:42:06.850Z,51.6741,-175.032,42.06,4.9,mb,,177,0.738,1.03,us,us20003g9f,2015-09-04T13:23:03.382Z,"81km SW of Atka, Alaska",earthquake
2015-09-04T12:24:24.510Z,51.478,-175.046,46.42,4.8,mb,,178,0.881,1.12,us,us20003g9a,2015-09-04T13:08:56.891Z,"98km SW of Atka, Alaska",earthquake
2015-09-04T12:15:42.190Z,51.3326,-174.8473,29.26,4.8,mb,,180,0.959,1.1,us,us20003g96,2015-09-04T20:18:17.114Z,"105km SSW of Atka, Alaska",earthquake
2015-09-04T10:35:08.540Z,5.955,61.3762,10,4.8,mb,,53,9.782,1.26,us,us20003g8g,2015-09-04T18:37:35.553Z,"Carlsberg Ridge",earthquake
2015-09-04T09:24:12.000Z,59.9373,-153.1749,113.8,2.5,ml,,,,0.52,ak,ak11691676,2015-09-04T17:26:49.431Z,"65km SSW of Redoubt Volcano, Alaska",earthquake
2015-09-04T09:00:02.430Z,37.1768333,-97.7965,5.38,2.62,ml,18,78,0.06886,0.04,ismpkansas,ismpkansas70133418,2015-09-04T17:07:28.499Z,"21km E of Anthony, Kansas",earthquake
2015-09-04T07:35:39.156Z,41.8463,-119.6317,8.6935,3.32,ml,7,76,0.163,0.1654,nn,nn00509233,2015-09-04T19:05:43.890Z,"72km ESE of Lakeview, Oregon",earthquake
2015-09-04T06:01:01.600Z,18.558,-65.0938,18,2.6,Md,3,230.4,0.24434176,0.05,pr,pr15247001,2015-09-04T14:04:14.658Z,"29km NW of Charlotte Amalie, U.S. Virgin Islands",earthquake
2015-09-04T05:12:53.400Z,18.7096,-64.169,46,2.8,Md,5,306,0.15540854,0.07,pr,pr15247000,2015-09-04T13:15:37.963Z,"57km NE of Road Town, British Virgin Islands",earthquake
2015-09-04T05:06:16.314Z,41.8911,-119.6321,8.8402,2.86,ml,5,77.51,0.136,0.1367,nn,nn00509230,2015-09-04T18:51:58.700Z,"71km ESE of Lakeview, Oregon",earthquake
2015-09-04T04:49:38.760Z,40.9342,47.5143,13.77,5.4,mb,,28,2.254,1.36,us,us20003g7a,2015-09-04T15:52:31.040Z,"15km SSE of Oguz, Azerbaijan",earthquake
2015-09-04T04:49:21.530Z,29.2473,130.5458,10,5.5,mb,,48,2.256,0.85,us,us20003g79,2015-09-04T13:56:48.000Z,"142km NE of Naze, Japan",earthquake
2015-09-04T01:52:29.410Z,14.3621,-92.7047,52.34,4.1,mb,,209,1.501,1.06,us,us20003g6x,2015-09-04T09:55:05.703Z,"50km SW of Puerto Madero, Mexico",earthquake
2015-09-04T01:20:04.040Z,37.537,-112.3116667,7.43,2.81,ml,27,75,0.093,0.22,uu,uu60122057,2015-09-04T14:36:30.119Z,"35km SSE of Panguitch, Utah",earthquake
2015-09-04T00:12:53.000Z,-8.6946,123.8706,108.15,4.2,mb,,95,1.124,0.78,us,us20003g6j,2015-09-04T08:15:38.310Z,"100km N of Naisano Dua, Indonesia",earthquake
2015-09-03T23:23:05.000Z,52.1964,-172.2648,55.2,2.5,ml,,,,0.6,ak,ak11691546,2015-09-04T19:35:51.631Z,"75km WSW of Amukta Island, Alaska",earthquake
2015-09-03T22:29:21.660Z,46.3561667,-122.2631667,11.53,3.11,ml,50,36,0.03242,0.15,uw,uw61074446,2015-09-04T04:50:37.906Z,"22km S of Morton, Washington",earthquake
2015-09-03T22:23:35.040Z,-23.9324,179.1498,562.1,4.6,mb,,88,5.901,1.05,us,us20003g65,2015-09-04T06:26:04.880Z,"South of the Fiji Islands",earthquake
2015-09-03T22:19:34.130Z,39.5961,143.2228,24.06,4.9,mb,,101,2.285,0.98,us,us20003g5z,2015-09-04T06:22:07.330Z,"109km E of Miyako, Japan",earthquake
2015-09-03T22:05:41.000Z,59.7398,-153.4485,111.7,2.7,ml,,,,0.65,ak,ak11691457,2015-09-04T06:08:21.343Z,"82km E of Old Iliamna, Alaska",earthquake
2015-09-03T21:36:34.000Z,61.6115,-147.5066,15,2.8,ml,,,,0.67,ak,ak11691444,2015-09-03T23:42:16.725Z,"74km ESE of Sutton-Alpine, Alaska",earthquake
2015-09-03T21:30:41.000Z,52.2771,-168.1747,9.6,2.6,ml,,,,0.43,ak,ak11691441,2015-09-04T05:33:11.363Z,"87km SSE of Nikolski, Alaska",earthquake
2015-09-03T21:11:35.000Z,56.831,-154.8343,5.8,2.7,ml,,,,0.25,ak,ak11691416,2015-09-04T05:14:10.374Z,"94km SSW of Larsen Bay, Alaska",earthquake
